	Lemme	Number of occurrence
384	endroit	73.00121010679406
385	amour	73.00121010679406
386	fort	72.62875495318798
387	fou	72.62875495318798
388	pierre	72.25629979958188
389	merci	71.88384464597578
390	avance	71.88384464597578
391	lune	71.5113894923697
392	papi	71.1389343387636
393	tard	71.1389343387636
394	deuxième	70.76647918515752
395	feu	70.76647918515752
396	sable	70.39402403155142
397	ciel	70.02156887794533
398	lave	70.02156887794533
399	philippine	69.27665857073315
400	bouteille	69.27665857073315
401	fil	68.90420341712706
402	pendant	68.90420341712706
403	bravo	68.53174826352097
404	légume	68.53174826352097
405	toboggan	68.15929310991486
406	savon	67.41438280270268
407	cousin	67.41438280270268
408	télé	67.41438280270268
409	suite	67.41438280270268
410	accident	67.04192764909659
411	oeil	67.04192764909659
412	fourchette	66.6694724954905
413	glace	66.6694724954905
414	second	66.6694724954905
415	sarah	66.2970173418844
416	fête	66.2970173418844
417	eliza	65.92456218827832
418	sapin	65.92456218827832
419	bro	65.55210703467222
420	soif	65.55210703467222
421	gauche	64.80719672746004
422	change	64.80719672746004
423	ordinateur	64.80719672746004
424	lego	64.80719672746004
425	exemple	64.06228642024786
426	cube	63.68983126664176
427	journée	63.68983126664176
428	papy	63.68983126664176
429	instant	63.68983126664176
430	ski	63.31737611303567
431	thé	63.31737611303567
432	bulle	63.31737611303567
433	zoo	62.94492095942958
434	parent	62.94492095942958
435	genou	62.94492095942958
436	botte	62.94492095942958
437	princesse	62.57246580582349
438	dé	62.57246580582349
439	chance	62.57246580582349
440	impression	62.200010652217394
441	propre	62.200010652217394
442	a	61.827555498611304
443	milieu	61.827555498611304
444	affaire	61.827555498611304
445	coq	61.455100345005214
446	serviette	61.455100345005214
447	sou	61.08264519139912
448	sage	60.710190037793026
449	panier	60.33773488418693
450	tasse	59.96527973058084
451	beurre	59.96527973058084
452	toucher	59.96527973058084
453	haut	59.96527973058084
454	question	59.96527973058084
455	personnage	58.84791426976257
456	ciseau	58.84791426976257
457	casse	58.47545911615647
458	machine	58.47545911615647
459	araignée	58.47545911615647
460	ail	58.103003962550375
461	rigolo	58.103003962550375
462	perle	57.730548808944285
463	auto	57.730548808944285
464	mille	57.730548808944285
465	pouce	57.730548808944285
466	cent	57.358093655338195
467	escalier	57.358093655338195
468	+n	56.985638501732105
469	purée	56.61318334812601
470	cou	56.61318334812601
471	yaourt	56.61318334812601
472	pull	56.61318334812601
473	goûter	56.24072819451992
474	père	56.24072819451992
475	paquet	55.12336273370165
476	mouche	55.12336273370165
477	aide	55.12336273370165
478	tiroir	55.12336273370165
479	e	54.75090758009555
480	âne	54.75090758009555
481	pirate	54.37845242648945
482	viande	54.37845242648945
483	pile	53.63354211927727
484	pompier	53.63354211927727
485	hélicoptère	53.63354211927727
486	attrape	53.26108696567118
487	autour	53.26108696567118
488	crème	52.888631812065086
489	tapis	52.888631812065086
490	intérieur	52.516176658458996
491	jambon	52.516176658458996
492	sieste	52.516176658458996
493	magasin	52.516176658458996
494	douche	52.516176658458996
495	compote	52.143721504852905
496	c	52.143721504852905
497	après–midi	52.143721504852905
498	chemin	52.143721504852905
499	chouchou	51.771266351246815
500	manteau	51.771266351246815
501	surtout	51.771266351246815
502	emma	51.39881119764072
503	camille	51.39881119764072
504	ver	51.39881119764072
505	mickey	51.39881119764072
506	quinze	51.02635604403463
507	renard	51.02635604403463
508	toilette	51.02635604403463
509	feutre	51.02635604403463
510	pêche	50.28144573682244
511	ru	50.28144573682244
512	midi	50.28144573682244
513	lis	49.90899058321635
514	crèche	49.90899058321635
515	poussette	49.90899058321635
516	tee_shirt	49.536535429610254
517	collier	49.536535429610254
518	tartine	49.164080276004164
519	barrière	49.164080276004164
520	biscuit	49.164080276004164
521	baleine	49.164080276004164
522	herbe	49.164080276004164
523	prénom	48.791625122398074
524	pantoufle	48.791625122398074
525	clé	48.791625122398074
526	court	48.419169968791984
527	bougie	48.419169968791984
528	habit	48.419169968791984
529	bol	48.419169968791984
530	trente	48.419169968791984
531	nouvelle	48.046714815185894
532	fauteuil	48.046714815185894
533	emeric	47.674259661579796
534	tatie	47.674259661579796
535	parc	47.674259661579796
536	perroquet	47.674259661579796
537	omer	47.301804507973706
538	spectacle	47.301804507973706
539	cassette	47.301804507973706
540	piano	47.301804507973706
541	pont	46.929349354367616
542	carla	46.556894200761526
543	calme	46.556894200761526
544	marché	46.556894200761526
545	chaud	46.556894200761526
546	roi	46.18443904715543
547	baignoire	46.18443904715543
548	surprise	46.18443904715543
549	chou	46.18443904715543
550	o	45.81198389354933
551	cantine	45.81198389354933
552	route	45.81198389354933
553	obligé	45.81198389354933
554	cahier	45.43952873994324
555	chouette	45.43952873994324
556	plage	45.43952873994324
557	monstre	45.43952873994324
558	canapé	45.06707358633715
559	fils	45.06707358633715
560	georges	44.32216327912497
561	disque	44.32216327912497
562	mise	44.32216327912497
563	pouvoir	43.949708125518875
564	samedi	43.949708125518875
565	lucas	43.577252971912785
566	cours	43.204797818306695
567	elsa	42.832342664700604
568	bac	42.832342664700604
569	violet	42.832342664700604
570	bec	42.832342664700604
571	janou	42.459887511094514
572	carton	42.459887511094514
573	dimanche	42.459887511094514
574	hibou	42.08743235748841
575	montagne	42.08743235748841
576	marionnette	42.08743235748841
577	plastique	42.08743235748841
578	salade	42.08743235748841
579	pince	42.08743235748841
580	peine	42.08743235748841
581	loulou	42.08743235748841
582	anouk	41.71497720388232
583	marc	41.71497720388232
584	clef	41.71497720388232
585	cheminée	41.71497720388232
586	mère	41.71497720388232
587	poulet	41.71497720388232
588	jean	41.34252205027623
589	coccinelle	41.34252205027623
590	requin	40.97006689667014
591	père_noël	40.97006689667014
592	dessert	40.97006689667014
593	lampe	40.97006689667014
594	plat	40.59761174306405
595	vent	40.59761174306405
596	casquette	40.59761174306405
597	bloc	40.22515658945795
598	jonas	39.85270143585186
599	lisa	39.85270143585186
600	noeud	39.85270143585186
601	voix	39.85270143585186
602	vie	39.85270143585186
603	tabouret	39.85270143585186
604	valise	39.85270143585186
605	coco	39.48024628224577
606	sorcier	39.48024628224577
607	ongle	39.48024628224577
608	écrit	39.48024628224577
609	pratique	39.48024628224577
610	d	39.10779112863968
611	coffre	39.10779112863968
612	blague	39.10779112863968
613	sanbarbe	38.735335975033585
614	hérisson	38.735335975033585
615	onze	38.735335975033585
616	coussin	38.362880821427495
617	préféré	38.362880821427495
618	frigo	38.362880821427495
619	patate	37.9904256678214
620	t	37.9904256678214
621	pinceau	37.9904256678214
622	mercredi	37.9904256678214
623	mousse	37.9904256678214
624	gant	37.9904256678214
625	seau	37.9904256678214
626	marron	37.9904256678214
627	manège	37.9904256678214
628	vieux	37.9904256678214
629	kangourou	37.61797051421531
630	taille	37.61797051421531
631	tableau	37.61797051421531
632	tata	37.24551536060922
633	m	37.24551536060922
634	peau	37.24551536060922
635	cas	37.24551536060922
636	soi	36.87306020700312
637	chenille	36.87306020700312
638	écureuil	36.87306020700312
639	galette	36.50060505339703
640	fermier	36.50060505339703
641	boue	36.50060505339703
642	nuage	36.50060505339703
643	excuse	36.50060505339703
644	lâche	36.50060505339703
645	triangle	36.12814989979094
646	mort	36.12814989979094
647	zéro	35.75569474618485
648	cinquante	35.75569474618485
649	catastrophe	35.75569474618485
650	blanche	35.75569474618485
651	zèbre	35.75569474618485
652	vin	35.75569474618485
653	couverture	35.75569474618485
654	meuble	35.75569474618485
655	cour	35.38323959257876
656	dinosaure	35.38323959257876
657	petit_ours_brun	35.010784438972664
658	s	35.010784438972664
659	duplo	35.010784438972664
660	forêt	35.010784438972664
661	sara	34.265874131760484
662	droite	34.265874131760484
