	Lemme	Number of occurrence
1697	cocon	4
1698	abri	4
1699	polaire	4
1700	merde	4
1701	foulard	4
1702	canon	4
1703	lessive	4
1704	connard	4
1705	pioupiou	4
1706	mobylette	3
1707	grippe	3
1708	moquette	3
1709	époux	3
1710	épicier	3
1711	boutonnière	3
1712	trotte	3
1713	yak	3
1714	dompteur	3
1715	mimi	3
1716	loulou	3
1717	mou	3
1718	meunier	3
1719	penderie	3
1720	photographie	3
1721	réparation	3
1722	métier	3
1723	cheville	3
1724	contrôle	3
1725	stagiaire	3
1726	épaisseur	3
1727	minus	3
1728	adresse	3
1729	brigand	3
1730	soixante	3
1731	coche	3
1732	intervention	3
1733	potion	3
1734	amitié	3
1735	erreur	3
1736	armure	3
1737	nombre	3
1738	villa	3
1739	sentiment	3
1740	évidence	3
1741	vol	3
1742	furet	3
1743	vérité	3
1744	septembre	3
1745	match	3
1746	carafe	3
1747	gaillard	3
1748	décolleté	3
1749	recette	3
1750	vétérinaire	3
1751	rossignol	3
1752	protection	3
1753	hockey	3
1754	prof	3
1755	fossile	3
1756	approche	3
1757	prairie	3
1758	direct	3
1759	larve	3
1760	quetzal	3
1761	mécanicien	3
1762	atterrissage	3
1763	orge	3
1764	voyant	3
1765	apéro	3
1766	arête	3
1767	clique	3
1768	traîne	3
1769	phénomène	3
1770	badge	3
1771	set	3
1772	ouvrier	3
1773	poignet	3
1774	potage	3
1775	marcassin	3
1776	championne	3
1777	spéculoos	3
1778	prix	3
1779	position	3
1780	marqueur	3
1781	saladier	3
1782	scène	3
1783	nana	3
1784	décoration	3
1785	aubergine	3
1786	concombre	3
1787	smack	3
1788	pourri	3
1789	revenant	3
1790	body	3
1791	cicatrice	3
1792	collège	3
1793	salaud	3
1794	bricoleur	3
1795	écriture	3
1796	colline	3
1797	capuchon	3
1798	boeuf	3
1799	carnivore	3
1800	vernis	3
1801	vautour	3
1802	mars	3
1803	août	3
1804	rototo	3
1805	terrain	3
1806	dispute	3
1807	éventail	3
1808	vallée	3
1809	caniche	3
1810	vipère	3
1811	gamelle	3
1812	kilomètre	3
1813	titi	3
1814	art	3
1815	caméléon	3
1816	zip	3
1817	tremplin	3
1818	babouche	3
1819	varicelle	3
1820	sonnerie	3
1821	électricité	3
1822	costaud	3
1823	choucroute	3
1824	souhait	3
1825	pélican	3
1826	puits	3
1827	comptine	3
1828	traîneau	3
1829	matines	3
1830	insecte	3
1831	hauteur	3
1832	gendarme	3
1833	paon	3
1834	porc	3
1835	mètre	3
1836	écolier	3
1837	bonheur	3
1838	morse	3
1839	sot	3
1840	paie	3
1841	blouse	3
1842	roquefort	3
1843	rampe	3
1844	hochet	3
1845	bascule	3
1846	mannequin	3
1847	trèfle	3
1848	cactus	3
1849	pastèque	3
1850	cavalier	3
1851	ménagère	3
1852	respiration	3
1853	gaufre	3
1854	théâtre	3
1855	chaudron	3
1856	moineau	3
1857	jument	3
1858	cane	3
1859	manchot	3
1860	tirelire	3
1861	embouteillage	3
1862	commerce	3
1863	plateau	3
1864	dossier	3
1865	genre	3
1866	bêta	3
1867	rame	3
1868	étoffe	3
1869	ciré	3
1870	débouché	3
1871	foie	3
1872	otite	3
1873	circulation	3
1874	poltron	3
1875	bigoudi	3
1876	nageoire	3
1877	piquant	3
1878	toux	3
1879	autocar	3
1880	miséricorde	3
1881	colique	3
1882	rondelle	3
1883	brou	3
1884	bave	3
1885	minet	3
1886	lancée	3
1887	portier	3
1888	cor	3
1889	lé	3
1890	offre	3
1891	cirage	3
1892	flan	3
1893	chagrin	3
1894	store	3
1895	bocal	3
1896	poireau	3
1897	duvet	3
1898	couille	3
1899	bordel	3
1900	pelouse	3
1901	cornet	2
1902	céleri	2
1903	pli	2
1904	sottise	2
1905	humeur	2
1906	revolver	2
1907	crosse	2
1908	oseille	2
1909	résultat	2
1910	ris	2
1911	effort	2
1912	ordonnance	2
1913	toast	2
1914	montgolfière	2
1915	gaffe	2
1916	fer	2
1917	margarine	2
1918	poêlon	2
1919	corridor	2
1920	celluloïd	2
1921	horloge	2
1922	shérif	2
1923	orteil	2
1924	aise	2
1925	gazon	2
1926	caboche	2
1927	clôture	2
1928	suçon	2
1929	livreur	2
1930	zézette	2
1931	furoncle	2
1932	exégèse	2
1933	louis	2
1934	croisière	2
1935	temple	2
1936	consigne	2
1937	chorale	2
1938	activité	2
1939	imprimante	2
1940	mandala	2
1941	détective	2
1942	prière	2
1943	virgule	2
1944	verbe	2
1945	tubercule	2
1946	science	2
1947	pèlerinage	2
1948	buvard	2
1949	studio	2
1950	idéal	2
1951	borne	2
1952	ciment	2
1953	engin	2
1954	concurrent	2
1955	yakitori	2
1956	identité	2
1957	paroisse	2
1958	mail	2
1959	casier	2
1960	télésiège	2
1961	parallèle	2
1962	calcul	2
1963	barque	2
1964	louloute	2
1965	merveilleuse	2
1966	placer	2
1967	grillage	2
1968	épreuve	2
1969	équipe	2
1970	pente	2
1971	cerisier	2
1972	strophe	2
1973	égalité	2
1974	île	2
1975	peintre	2
1976	collection	2
1977	rusé	2
1978	fa	2
1979	pistache	2
1980	pâques	2
1981	stage	2
1982	caserne	2
1983	néerlandais	2
1984	bidule	2
1985	alerte	2
1986	permission	2
1987	obstacle	2
1988	mémoire	2
1989	repos	2
1990	sommet	2
1991	bikini	2
1992	moniteur	2
1993	compagnie	2
1994	exposition	2
1995	rapace	2
1996	cercle	2
1997	mesure	2
1998	apparence	2
1999	état	2
2000	louveteau	2
2001	batterie	2
2002	lâcher	2
2003	génie	2
2004	grâce	2
2005	prudence	2
2006	arc	2
2007	manière	2
2008	cinquième	2
2009	amande	2
2010	matériel	2
2011	bronze	2
2012	sonnette	2
2013	espagnol	2
2014	lampadaire	2
2015	écarlate	2
2016	club	2
2017	assistant	2
2018	poing	2
2019	thon	2
2020	échec	2
2021	foule	2
2022	rumeur	2
2023	héros	2
2024	anche	2
2025	mangue	2
2026	abricotier	2
2027	parole	2
2028	sein	2
2029	homard	2
2030	hamac	2
2031	excuse	2
2032	fane	2
2033	combinaison	2
2034	ruisseau	2
2035	star	2
2036	ptérodactyle	2
2037	écran	2
2038	portail	2
2039	sauteur	2
2040	échasse	2
2041	figue	2
2042	agenda	2
2043	sucrier	2
2044	baby	2
2045	décor	2
2046	solution	2
2047	melon	2
2048	avocat	2
2049	pressé	2
2050	chantier	2
2051	bonshommes	2
2052	plâtre	2
2053	crête	2
2054	promis	2
2055	piment	2
2056	perlimpinpin	2
2057	tirée	2
2058	curieux	2
2059	basilic	2
2060	capricorne	2
2061	précieuse	2
2062	virage	2
2063	hotte	2
2064	basse	2
2065	jardinier	2
2066	chauffeur	2
2067	quartier	2
2068	gui	2
2069	chair	2
2070	pépère	2
2071	baie	2
2072	clinique	2
2073	cake	2
2074	théier	2
2075	pistole	2
2076	président	2
2077	lange	2
2078	square	2
2079	boxe	2
2080	madeleine	2
2081	jalouse	2
2082	chic	2
2083	ronflement	2
2084	scooter	2
2085	coquelicot	2
2086	diarrhée	2
2087	tronçonneuse	2
2088	brisées	2
2089	chiotte	2
2090	jongleur	2
2091	mouflette	2
2092	sardine	2
2093	tornade	2
2094	dribble	2
2095	matinée	2
2096	opération	2
2097	bidet	2
2098	litière	2
2099	contraire	2
2100	réponse	2
2101	terrier	2
2102	patronne	2
2103	million	2
2104	perruche	2
2105	champion	2
2106	présent	2
2107	bécasse	2
2108	crétin	2
2109	sauvage	2
2110	cerbère	2
2111	devinette	2
2112	caverne	2
2113	ouistiti	2
2114	andouille	2
2115	novembre	2
2116	octobre	2
2117	laser	2
2118	poulailler	2
2119	couscous	2
2120	voeu	2
2121	rousse	2
2122	soirée	2
2123	acrobatie	2
2124	nature	2
2125	aventure	2
2126	cruchon	2
2127	pamplemousse	2
2128	descendant	2
2129	porcelet	2
2130	découpage	2
2131	fenouil	2
2132	vaccin	2
2133	couffin	2
2134	escabeau	2
2135	caddie	2
2136	otoscope	2
2137	toise	2
2138	bélier	2
2139	biquet	2
2140	navire	2
2141	pendule	2
2142	gras	2
2143	merle	2
2144	marmite	2
2145	kleenex	2
2146	savane	2
2147	broche	2
2148	arnica	2
2149	baume	2
2150	appui	2
2151	lionceau	2
2152	griffure	2
2153	yack	2
2154	balayette	2
2155	cristal	2
2156	saumon	2
2157	écrevisse	2
2158	guignol	2
2159	odeur	2
2160	pareille	2
2161	urgence	2
2162	taxi	2
2163	camping	2
2164	bassin	2
2165	poids	2
2166	fronde	2
2167	épouvantail	2
2168	base	2
2169	gruyère	2
2170	usine	2
2171	mémère	2
2172	ancre	2
2173	noyé	2
2174	noiraud	2
2175	margoulette	2
2176	béton	2
2177	blagueur	2
2178	planque	2
2179	cervelle	2
2180	ocarina	2
2181	trempe	2
2182	pierrot	2
2183	alligator	2
2184	fourreau	2
2185	calembour	2
2186	carnassier	2
2187	bobine	2
2188	fourneau	2
2189	commission	2
2190	tic	2
2191	fièvre	2
2192	shampoing	2
2193	putois	2
2194	réglisse	2
2195	goule	2
2196	canine	2
2197	thym	2
2198	emballage	1
2199	partant	1
2200	enveloppe	1
2201	coquette	1
2202	bienheureux	1
2203	ruche	1
2204	décembre	1
2205	humain	1
2206	semailles	1
2207	mordant	1
2208	température	1
2209	explication	1
2210	renvoi	1
2211	sotte	1
2212	pharmacie	1
2213	rayon	1
2214	déménagement	1
2215	nuque	1
2216	franc	1
2217	patron	1
2218	tricheur	1
2219	importance	1
2220	charcuterie	1
2221	palette	1
2222	givre	1
2223	futur	1
2224	agréable	1
2225	souper	1
2226	marelle	1
2227	expéditeur	1
2228	sérieuse	1
2229	orchestre	1
2230	entonnoir	1
2231	dormeur	1
2232	majesté	1
2233	gouda	1
2234	relance	1
2235	malpropre	1
2236	remorqueur	1
2237	bossu	1
2238	ophtalmologue	1
2239	tremblement	1
2240	serveur	1
2241	bleuet	1
2242	bêche	1
2243	action	1
2244	gargouillis	1
2245	ombrelle	1
2246	impatience	1
2247	tabac	1
2248	volume	1
2249	cigogne	1
2250	fouet	1
2251	croc	1
2252	clos	1
2253	perruque	1
2254	capot	1
2255	gogo	1
2256	recyclage	1
2257	lasagne	1
2258	pige	1
2259	bedaine	1
2260	picot	1
2261	tine	1
2262	toto	1
2263	baba	1
2264	prochain	1
2265	aéroport	1
2266	proche	1
2267	frein	1
2268	cornemuse	1
2269	mule	1
2270	cytoplasme	1
2271	glaçon	1
2272	pal	1
2273	néné	1
2274	véhicule	1
2275	défaite	1
2276	classement	1
2277	supérieur	1
2278	coupable	1
2279	cale	1
2280	baronne	1
2281	journaliste	1
2282	rubis	1
2283	assassin	1
2284	photographe	1
2285	rédacteur	1
2286	paquebot	1
2287	reportage	1
2288	luxe	1
2289	large	1
2290	explorateur	1
2291	énigme	1
2292	orphelin	1
2293	avare	1
2294	février	1
2295	pitié	1
2296	charrette	1
2297	être	1
2298	collègue	1
2299	directrice	1
2300	colonne	1
2301	principe	1
2302	version	1
2303	acquisition	1
2304	pluriel	1
2305	toiture	1
2306	révision	1
2307	infinitif	1
2308	vocabulaire	1
2309	photocopieur	1
2310	gel	1
2311	fraisier	1
2312	arbuste	1
2313	origine	1
2314	aliment	1
2315	texte	1
2316	transformation	1
2317	longueur	1
2318	galère	1
2319	chemisier	1
2320	tombeau	1
2321	rétroviseur	1
2322	hanche	1
2323	dépense	1
2324	mezzanine	1
2325	bricolage	1
2326	invention	1
2327	mitraillette	1
2328	militaire	1
2329	braise	1
2330	solfège	1
2331	tir	1
2332	chronomètre	1
2333	changement	1
2334	chalumeau	1
2335	électricien	1
2336	cloison	1
2337	averse	1
2338	mortier	1
2339	vainqueur	1
2340	mouvement	1
2341	arbitre	1
2342	rôle	1
2343	minuit	1
2344	fromager	1
2345	intéressé	1
2346	doute	1
2347	élan	1
2348	gagnant	1
2349	monitrice	1
2350	salto	1
2351	gyrophare	1
2352	automatique	1
2353	commissariat	1
2354	acide	1
2355	imposteur	1
2356	fétiche	1
2357	limaçon	1
2358	thème	1
2359	menu	1
2360	écart	1
2361	pagaille	1
2362	quantité	1
2363	pleur	1
2364	objet	1
2365	trône	1
2366	prévenu	1
2367	parapente	1
2368	tourbillon	1
2369	bâillement	1
2370	cafard	1
2371	skateboard	1
2372	goéland	1
2373	laitier	1
2374	décollage	1
2375	amulette	1
2376	supermarché	1
2377	maladroit	1
2378	ballerine	1
2379	passant	1
2380	talon	1
2381	arrangement	1
2382	patinoire	1
2383	rebord	1
2384	cerveau	1
2385	incendie	1
2386	anse	1
2387	frérot	1
2388	natte	1
2389	réfrigérateur	1
2390	batteur	1
2391	moissonneur	1
2392	dortoir	1
2393	intrus	1
2394	parachute	1
2395	factrice	1
2396	plot	1
2397	bâtiment	1
2398	pif	1
2399	liant	1
2400	soixantième	1
2401	gaucher	1
2402	aperçu	1
2403	radar	1
2404	primaire	1
2405	équitation	1
2406	réfectoire	1
2407	pire	1
2408	chère	1
2409	affamé	1
2410	devenir	1
2411	démonstration	1
2412	joueur	1
2413	allié	1
2414	folle	1
2415	examen	1
2416	tamis	1
2417	habitué	1
2418	superbe	1
2419	pote	1
2420	arrivant	1
2421	coulisse	1
2422	col	1
2423	bouclier	1
2424	chauve	1
2425	récompense	1
2426	trousse	1
2427	poursuite	1
2428	invite	1
2429	mec	1
2430	entraînement	1
2431	fiancé	1
2432	handicapé	1
2433	déchet	1
2434	code	1
2435	ceinturon	1
2436	malpoli	1
2437	marmot	1
2438	hirondelle	1
2439	chorégraphie	1
2440	diplôme	1
2441	sécurité	1
2442	pensée	1
2443	comportement	1
2444	contour	1
2445	solitude	1
2446	constructeur	1
2447	cachet	1
2448	direction	1
2449	issue	1
2450	coquetier	1
2451	méthode	1
2452	craque	1
2453	farce	1
2454	fourmilier	1
2455	footballeur	1
2456	dessinateur	1
2457	bar	1
2458	rasoir	1
2459	pastille	1
2460	buffle	1
2461	colombe	1
2462	réservoir	1
2463	échappée	1
2464	baballe	1
2465	crise	1
2466	sportif	1
2467	patinette	1
2468	centimètre	1
2469	coupage	1
2470	mirabelle	1
2471	récolte	1
2472	cassis	1
2473	seigneur	1
2474	api	1
2475	escrime	1
2476	élève	1
2477	silhouette	1
2478	distribution	1
2479	arbalétrier	1
2480	nougat	1
2481	relais	1
2482	lisse	1
2483	abordage	1
2484	louche	1
2485	boulangerie	1
2486	oblique	1
2487	clavier	1
2488	taboulé	1
2489	arabe	1
2490	syllabe	1
2491	technique	1
2492	violoncelle	1
2493	bouffon	1
2494	freinage	1
2495	réflexe	1
2496	diplodocus	1
2497	style	1
2498	relevé	1
2499	toque	1
2500	différence	1
2501	castagnettes	1
2502	rebond	1
2503	jonquille	1
2504	téléski	1
2505	étable	1
2506	clairière	1
2507	portique	1
2508	plancton	1
2509	tapée	1
2510	iguane	1
2511	endive	1
2512	semoule	1
2513	daim	1
2514	société	1
2515	gargouille	1
2516	fût	1
2517	descente	1
2518	paradis	1
2519	reptile	1
2520	brugnon	1
2521	lavande	1
2522	tourment	1
2523	défense	1
2524	cassoulet	1
2525	harpe	1
2526	pagne	1
2527	rayure	1
2528	bambou	1
2529	délicat	1
2530	concert	1
2531	agrumes	1
2532	camélia	1
2533	conte	1
2534	laboratoire	1
2535	dépanneur	1
2536	instruction	1
2537	gramme	1
2538	pellicule	1
2539	épi	1
2540	capucin	1
2541	oubli	1
2542	tremble	1
2543	cocotier	1
2544	passeport	1
2545	pôle	1
2546	rallonge	1
2547	chambard	1
2548	communion	1
2549	blessure	1
2550	mensonge	1
2551	pudding	1
2552	clocher	1
2553	folie	1
2554	classeur	1
2555	bienvenu	1
2556	poutre	1
2557	enchanteur	1
2558	samba	1
2559	cortège	1
2560	sagouin	1
2561	chouquette	1
2562	ménage	1
2563	mimosa	1
2564	barbichette	1
2565	crapule	1
2566	gazelle	1
2567	courbature	1
2568	piquette	1
2569	aérosol	1
2570	kiné	1
2571	bâbord	1
2572	ingrédient	1
2573	jazz	1
2574	battue	1
2575	bowling	1
2576	filou	1
2577	buisson	1
2578	région	1
2579	épisode	1
2580	quiquette	1
2581	cochonnerie	1
2582	gnocchi	1
2583	pitre	1
2584	matelot	1
2585	volley	1
2586	chimpanzé	1
2587	safari	1
2588	clochette	1
2589	vestiaire	1
2590	pelote	1
2591	farceur	1
2592	asiatique	1
2593	palme	1
2594	empereur	1
2595	romantique	1
2596	fauve	1
2597	danseur	1
2598	recharge	1
2599	vachette	1
2600	bique	1
2601	salut	1
2602	charlotte	1
2603	chantilly	1
2604	molette	1
2605	relève	1
2606	émission	1
2607	tronche	1
2608	appel	1
2609	météo	1
2610	poster	1
2611	tac	1
2612	blouson	1
2613	trapèze	1
2614	carriole	1
2615	baron	1
2616	donjon	1
2617	pissette	1
2618	trot	1
2619	dingue	1
2620	nickel	1
2621	rectangle	1
2622	hameçon	1
2623	iris	1
2624	écurie	1
2625	malléole	1
2626	grec	1
2627	mas	1
2628	bricole	1
2629	relief	1
2630	malheureux	1
2631	clafoutis	1
2632	bûche	1
2633	pupitre	1
2634	malle	1
2635	coffret	1
2636	balustrade	1
2637	stégosaure	1
2638	tamanoir	1
2639	pyramide	1
2640	monospace	1
2641	élévateur	1
2642	ânon	1
2643	blues	1
2644	fillette	1
2645	apprenti	1
2646	reinette	1
2647	tabatière	1
2648	pâquerette	1
2649	bigorneau	1
2650	écorché	1
2651	tapette	1
2652	ardoise	1
2653	glaçage	1
2654	agrafeuse	1
2655	portée	1
2656	gelée	1
2657	cacahouète	1
2658	boisson	1
2659	mie	1
2660	professionnel	1
2661	caméraman	1
2662	cric	1
2663	baleineau	1
2664	calamité	1
2665	saxophone	1
2666	brebis	1
2667	aiglon	1
2668	louve	1
2669	frais	1
2670	sérum	1
2671	marguerite	1
2672	minette	1
2673	fourré	1
2674	soupière	1
2675	bru	1
2676	funiculaire	1
2677	mouflon	1
2678	edelweiss	1
2679	faucille	1
2680	publicité	1
2681	cire	1
2682	monument	1
2683	piéton	1
2684	cendre	1
2685	étamine	1
2686	japonaise	1
2687	grog	1
2688	profondeur	1
2689	gyroscope	1
2690	autoroute	1
2691	oignon	1
2692	pari	1
2693	agrafe	1
2694	repartie	1
2695	jeton	1
2696	goulu	1
2697	écrou	1
2698	cognac	1
2699	labo	1
2700	zigzag	1
2701	bagnole	1
2702	coqueluche	1
2703	cigare	1
2704	plaisantin	1
2705	ion	1
2706	étudiant	1
2707	gaz	1
2708	autobus	1
2709	aérogare	1
2710	creux	1
2711	sciure	1
2712	trombone	1
2713	mégot	1
2714	mollet	1
2715	ré	1
2716	tyran	1
2717	kola	1
2718	moderne	1
2719	écouteur	1
2720	visite	1
2721	cruche	1
2722	tanin	1
2723	cocorico	1
2724	jaquette	1
2725	charge	1
2726	choc	1
2727	calculette	1
2728	cachou	1
2729	mangeur	1
2730	réserve	1
2731	conne	1
2732	danger	1
2733	fouille	1
2734	whisky	1
2735	lolo	1
2736	grenade	1
2737	protégé	1
2738	nouille	1
2739	rage	1
