	Lemme	Number of occurrence
766	maïs	24
767	chariot	24
768	vaisselle	24
769	section	23
770	cape	23
771	cause	23
772	phoque	23
773	vanille	23
774	gratte	23
775	castor	23
776	bosse	23
777	surtout	23
778	face	23
779	appareil	23
780	toutou	23
781	poil	23
782	jeep	23
783	pigeon	23
784	tente	23
785	pipe	23
786	meilleur	22
787	otarie	22
788	devoir	22
789	purée	22
790	patate	22
791	colère	22
792	instant	22
793	miroir	22
794	couvert	22
795	travers	22
796	gomme	22
797	piqûre	22
798	car	22
799	facteur	22
800	chemise	22
801	homme	22
802	olive	22
803	crapaud	21
804	alouette	21
805	couette	21
806	tennis	21
807	gars	21
808	capuche	21
809	mandarin	21
810	pic	21
811	taupe	21
812	marin	21
813	fabrique	21
814	allumette	21
815	drap	21
816	métro	21
817	lancer	21
818	os	21
819	voyage	21
820	dommage	21
821	sifflet	21
822	joie	20
823	pépin	20
824	soucoupe	20
825	cinquante	20
826	carnaval	20
827	croquette	20
828	déjeuner	20
829	nain	20
830	pays	20
831	médaille	20
832	domino	20
833	bouquet	20
834	barrette	20
835	gommette	20
836	pendant	20
837	semaine	20
838	église	20
839	lacet	20
840	chaîne	20
841	gilet	20
842	couture	20
843	bonjour	20
844	moustache	20
845	troisième	20
846	pneu	20
847	prêté	20
848	médecin	19
849	dessert	19
850	mouette	19
851	short	19
852	f	19
853	chiffre	19
854	magie	19
855	pou	19
856	vieille	19
857	moyen	19
858	vêtement	19
859	gorge	19
860	grue	19
861	annulaire	19
862	trottoir	19
863	poteau	19
864	volet	19
865	pieuvre	19
866	or	19
867	saucisse	19
868	groupe	18
869	égout	18
870	cachette	18
871	bijou	18
872	appétit	18
873	règle	18
874	scarabée	18
875	modèle	18
876	mémé	18
877	w	18
878	chaton	18
879	carreau	18
880	brun	18
881	rhinocéros	18
882	possible	18
883	veau	18
884	autour	18
885	rivière	18
886	magnétophone	18
887	droite	18
888	vis	18
889	salopette	18
890	meuble	18
891	savoir	18
892	fessée	18
893	placard	18
894	merci	18
895	épaule	18
896	noyau	17
897	schtroumpf	17
898	dégoûtant	17
899	espace	17
900	cuisinier	17
901	berceau	17
902	baffe	17
903	kiki	17
904	mallette	17
905	nappe	17
906	aspirateur	17
907	tampon	17
908	pois	17
909	jet	17
910	demi	17
911	griffe	17
912	sourire	17
913	champ	17
914	cartable	17
915	journal	17
916	plafond	17
917	saleté	17
918	radiateur	17
919	parasol	17
920	nid	17
921	crevette	17
922	arrivée	17
923	banc	17
924	manche	17
925	tenture	16
926	immeuble	16
927	g	16
928	chatouille	16
929	guirlande	16
930	récréation	16
931	personnage	16
932	force	16
933	sandwich	16
934	pion	16
935	chip	16
936	violette	16
937	radis	16
938	contre	16
939	produit	16
940	dépêche	16
941	méduse	16
942	noël	16
943	coloriage	16
944	tonnerre	16
945	restaurant	16
946	lavabo	16
947	filet	16
948	majeur	16
949	gourmand	16
950	panne	16
951	cygne	16
952	album	16
953	mignon	16
954	baisse	16
955	montée	16
956	cabinet	16
957	chance	15
958	dalmatien	15
959	invité	15
960	centre	15
961	planète	15
962	hiver	15
963	k	15
964	pratique	15
965	graine	15
966	rhume	15
967	dromadaire	15
968	attache	15
969	bombe	15
970	chaperon	15
971	village	15
972	violon	15
973	pauvre	15
974	éclair	15
975	flûte	15
976	rocher	15
977	bétonneuse	15
978	index	15
979	toupie	15
980	canne	15
981	plaque	15
982	habitude	15
983	rideau	15
984	maternelle	15
985	rire	15
986	arrière	15
987	lâche	15
988	tournoi	14
989	collation	14
990	lutin	14
991	reflet	14
992	écarté	14
993	potager	14
994	quatrième	14
995	orque	14
996	anglais	14
997	milliard	14
998	slip	14
999	omelette	14
1000	commande	14
1001	sanglier	14
1002	z	14
1003	tarte	14
1004	ananas	14
1005	garderie	14
1006	brique	14
1007	clou	14
1008	paillette	14
1009	voix	14
1010	lèvre	14
1011	note	14
1012	canaille	14
1013	ville	14
1014	élastique	14
1015	taureau	14
1016	construction	14
1017	barre	14
1018	locomotive	14
1019	conduit	14
1020	con	14
1021	caravane	14
1022	front	14
1023	coque	14
1024	épingle	14
1025	caramel	14
1026	parquet	14
1027	souci	13
1028	bal	13
1029	diadème	13
1030	prisonnier	13
1031	tenue	13
1032	concours	13
1033	crasse	13
1034	couchage	13
1035	fiche	13
1036	courgette	13
1037	trampoline	13
1038	tutu	13
1039	punaise	13
1040	midi	13
1041	peine	13
1042	repas	13
1043	poulain	13
1044	top	13
1045	j	13
1046	remorque	13
1047	goût	13
1048	ambulance	13
1049	indien	13
1050	balance	13
1051	gare	13
1052	rentrée	13
1053	timbale	13
1054	voie	13
1055	gêne	13
1056	linge	13
1057	leçon	12
1058	gala	12
1059	carrosse	12
1060	bandeau	12
1061	prise	12
1062	baptême	12
1063	soi	12
1064	bac	12
1065	avril	12
1066	rencontre	12
1067	magicien	12
1068	caleçon	12
1069	moyenne	12
1070	télécommande	12
1071	niche	12
1072	foire	12
1073	camembert	12
1074	agneau	12
1075	mare	12
1076	nounou	12
1077	lèche	12
1078	menthe	12
1079	autruche	12
1080	matelas	12
1081	ombre	12
1082	exprès	12
1083	passage	12
1084	moitié	12
1085	levé	12
1086	noix	12
1087	chasseur	12
1088	mari	12
1089	biche	12
1090	statue	12
1091	pardon	12
1092	museau	12
1093	idiot	12
1094	aimant	12
1095	caresse	12
1096	marchand	12
1097	sirop	12
1098	vaisseau	12
1099	liste	11
1100	cas	11
1101	armée	11
1102	impression	11
1103	mitre	11
1104	pilote	11
1105	essence	11
1106	tulipe	11
1107	brocoli	11
1108	malin	11
1109	capitaine	11
1110	pet	11
1111	pouvoir	11
1112	plaisir	11
1113	mini	11
1114	ketchup	11
1115	brassard	11
1116	port	11
1117	q	11
1118	cadre	11
1119	dindon	11
1120	secret	11
1121	double	11
1122	boucle	11
1123	chauffage	11
1124	grotte	11
1125	pommade	11
1126	kiwi	11
1127	lingette	11
1128	ourson	11
1129	jumelles	11
1130	chou	11
1131	radio	11
1132	shampooing	11
1133	chinois	11
1134	tige	11
1135	quille	11
1136	dieu	11
1137	tuyau	11
1138	faute	11
1139	cendrier	11
1140	réveil	11
1141	hélice	11
1142	boulot	11
1143	miel	11
1144	campagne	11
1145	frigo	11
1146	évier	10
1147	accessoire	10
1148	ordre	10
1149	spider	10
1150	charbon	10
1151	vampire	10
1152	chandail	10
1153	squelette	10
1154	gorille	10
1155	gribouillage	10
1156	poésie	10
1157	mystère	10
1158	épinard	10
1159	parfum	10
1160	soldat	10
1161	ravioli	10
1162	tresse	10
1163	renne	10
1164	panthère	10
1165	bavoir	10
1166	jeune	10
1167	question	10
1168	corbeau	10
1169	jungle	10
1170	noisette	10
1171	calme	10
1172	ascenseur	10
1173	tension	10
1174	lionne	10
1175	sabre	10
1176	triche	10
1177	pédale	10
1178	carrelage	10
1179	carnet	10
1180	longue	10
1181	chouette	10
1182	groseille	10
1183	bande	10
1184	machin	10
1185	baiser	10
1186	fusil	10
1187	voile	10
1188	menteur	10
1189	sourcil	10
1190	balcon	10
1191	revenu	10
1192	sparadrap	9
1193	spatule	9
1194	crevaison	9
1195	moine	9
1196	somme	9
1197	trajet	9
1198	français	9
1199	contrebasse	9
1200	abricot	9
1201	artichaut	9
1202	barbecue	9
1203	dînette	9
1204	poste	9
1205	courrier	9
1206	terrasse	9
1207	football	9
1208	millier	9
1209	disparu	9
1210	printemps	9
1211	mitaine	9
1212	titre	9
1213	fermeture	9
1214	tâche	9
1215	sabot	9
1216	foin	9
1217	levure	9
1218	case	9
1219	clémentine	9
1220	mammouth	9
1221	pâté	9
1222	coquille	9
1223	pintade	9
1224	bibliothèque	9
1225	auriculaire	9
1226	semelle	9
1227	soufflé	9
1228	algue	9
1229	tronc	9
1230	branche	9
1231	tunnel	9
1232	oreiller	9
1233	pochette	9
1234	malheur	9
1235	biscotte	9
1236	libellule	9
1237	crochet	9
1238	claque	9
1239	santé	9
1240	cave	9
1241	citrouille	9
1242	moufle	9
1243	dictée	8
1244	lavette	8
1245	embrasse	8
1246	tournis	8
1247	mauvais	8
1248	tarama	8
1249	gratin	8
1250	retard	8
1251	poignée	8
1252	toile	8
1253	promenade	8
1254	gobelet	8
1255	bidon	8
1256	ukulélé	8
1257	y	8
1258	plan	8
1259	phrase	8
1260	mayonnaise	8
1261	roller	8
1262	golf	8
1263	gymnastique	8
1264	échange	8
1265	pâtisserie	8
1266	lac	8
1267	coiffeur	8
1268	pompon	8
1269	pirouette	8
1270	paye	8
1271	aquarium	8
1272	caneton	8
1273	catastrophe	8
1274	maquillage	8
1275	adulte	8
1276	bob	8
1277	huile	8
1278	sport	8
1279	nombril	8
1280	croix	8
1281	jaguar	8
1282	silence	8
1283	hache	8
1284	entier	8
1285	reçu	8
1286	ventilateur	8
1287	piste	8
1288	moule	8
1289	conducteur	8
1290	scie	8
1291	croisé	8
1292	croûte	8
1293	benne	8
1294	tonneau	8
1295	mécanique	8
1296	loto	8
1297	salé	8
1298	bravo	8
1299	putain	8
1300	cravate	8
1301	cacahuète	8
1302	harmonica	8
1303	mâche	7
1304	pilier	7
1305	correspondant	7
1306	institutrice	7
1307	naissance	7
1308	tempête	7
1309	lecture	7
1310	loisir	7
1311	papou	7
1312	bazar	7
1313	chai	7
1314	rapide	7
1315	muscle	7
1316	missile	7
1317	martien	7
1318	karaté	7
1319	stop	7
1320	juillet	7
1321	mignonne	7
1322	batelier	7
1323	coiffe	7
1324	patapouf	7
1325	stade	7
1326	volcan	7
1327	goal	7
1328	roulade	7
1329	piquet	7
1330	guerre	7
1331	hamburger	7
1332	plombier	7
1333	flamant	7
1334	confetti	7
1335	flaque	7
1336	enclos	7
1337	peignoir	7
1338	jumeau	7
1339	angle	7
1340	ampoule	7
1341	mosaïque	7
1342	dîner	7
1343	datte	7
1344	yoyo	7
1345	diamant	7
1346	fifille	7
1347	selle	7
1348	bourdon	7
1349	cri	7
1350	ovale	7
1351	couloir	7
1352	sol	7
1353	tourterelle	7
1354	accordéon	7
1355	appelé	7
1356	second	7
1357	dentifrice	7
1358	microbe	7
1359	halle	7
1360	rouleau	7
1361	panneau	7
1362	partage	7
1363	cabriole	7
1364	coude	7
1365	losange	7
1366	corbeille	7
1367	ticket	7
1368	suppositoire	7
1369	fanfare	7
1370	cuisse	7
1371	ressort	7
1372	guêpe	7
1373	prune	7
1374	poêle	7
1375	solide	7
1376	bouille	7
1377	tante	7
1378	entrée	7
1379	narine	7
1380	chardon	6
1381	mission	6
1382	poison	6
1383	désordre	6
1384	plaine	6
1385	intérêt	6
